antibiotic	measurement_value	resistant_phenotype	evidence	genome_id	genome_name	laboratory_typing_method	taxon_id	measurement_sign	measurement_unit
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7427	Acinetobacter baumannii strain MRSN11683	Broth dilution	470	>=	mg/L
ampicillin	32	Resistant	Laboratory Method	470.2270	Acinetobacter baumannii strain CCF19		470	>=	mg/L
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7451	Acinetobacter baumannii strain MRSN11726	Broth dilution	470	>=	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7528	Acinetobacter baumannii strain MRSN15038	Broth dilution	470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7641	Acinetobacter baumannii strain MRSN7158	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7900	Acinetobacter baumannii strain MRSN7520	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7953	Acinetobacter baumannii strain MRSN7612	Broth dilution	470	>	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16310	Acinetobacter baumannii 91_n	Disk diffusion	470		
cefotaxime	32	Resistant	Laboratory Method	470.7796	Acinetobacter baumannii strain MRSN7376	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.1550	Acinetobacter baumannii strain MRSN16901	Broth dilution	470	>	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7647	Acinetobacter baumannii strain MRSN7164	Broth dilution	470	>=	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7460	Acinetobacter baumannii strain MRSN11742	Broth dilution	470	>	mg/L
ticarcillin/clavulanic acid		Resistant	Laboratory Method	470.647	Acinetobacter baumannii ABUH41487		470		
trimethoprim/sulfamethoxazole	8/152	Resistant	Laboratory Method	470.8035	Acinetobacter baumannii strain MRSN7759	Broth dilution	470	=	mg/L
imipenem		Resistant	Laboratory Method	470.697	Acinetobacter baumannii ABUH370301		470		
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7882	Acinetobacter baumannii strain MRSN7495	Broth dilution	470	>=	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.16319	Acinetobacter baumannii 187_ax	Disk diffusion	470		
trimethoprim/sulfamethoxazole		Resistant	Laboratory Method	470.656	Acinetobacter baumannii ABUH430459		470		
imipenem	8	Resistant	Laboratory Method	470.7810	Acinetobacter baumannii strain MRSN7391	Broth dilution	470	>	mg/L
spectinomycin		Resistant	Laboratory Method	470.775	Acinetobacter baumannii A1	Disk diffusion	470		
tobramycin	8	Resistant	Laboratory Method	470.7578	Acinetobacter baumannii strain MRSN2839	Broth dilution	470	>	mg/L
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.8006	Acinetobacter baumannii strain MRSN7703	Broth dilution	470	>=	mg/L
levofloxacin	8	Resistant	Laboratory Method	470.7439	Acinetobacter baumannii strain MRSN11708	Broth dilution	470	>=	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7759	Acinetobacter baumannii strain MRSN7326	Broth dilution	470	>	mg/L
ampicillin/sulbactam		Resistant	Laboratory Method	470.6213	Acinetobacter baumannii strain AB_161	Disk diffusion	470		
nitrofurantoin	512	Resistant	Laboratory Method	470.7636	Acinetobacter baumannii strain MRSN7153	Broth dilution	470	>=	mg/L
piperacillin	128	Resistant	Laboratory Method	470.2255	Acinetobacter baumannii strain CCF18		470	>=	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16282	Acinetobacter baumannii UV_965	Disk diffusion	470		
spectinomycin		Resistant	Laboratory Method	470.24289	Acinetobacter baumannii MGL_Ab_10	Disk diffusion	470		
ampicillin	32	Resistant	Laboratory Method	470.8011	Acinetobacter baumannii strain MRSN7711	Broth dilution	470	>=	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7909	Acinetobacter baumannii strain MRSN7543	Broth dilution	470	>	mg/L
tobramycin	6	Resistant	Laboratory Method	470.2159	Acinetobacter baumannii A091	Disk diffusion	470		mm
tobramycin	8	Resistant	Laboratory Method	470.7591	Acinetobacter baumannii strain MRSN7074	Broth dilution	470	>	mg/L
ampicillin/sulbactam	16/8	Resistant	Laboratory Method	470.7425	Acinetobacter baumannii strain MRSN11679	Broth dilution	470	>	mg/L
ciprofloxacin	4	Resistant	Laboratory Method	470.7850	Acinetobacter baumannii strain MRSN7455	Broth dilution	470	>=	mg/L
cefepime	64	Resistant	Laboratory Method	470.7350	Acinetobacter baumannii strain 87	Broth dilution	470	>=	mg/L
ticarcillin/clavulanic acid		Resistant	Laboratory Method	470.732	Acinetobacter baumannii ABUH410103		470		
gentamicin		Resistant	Laboratory Method	470.16297	Acinetobacter baumannii 18_n	Disk diffusion	470		
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.7751	Acinetobacter baumannii strain MRSN7314	Broth dilution	470	>	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7509	Acinetobacter baumannii strain MRSN11816	Broth dilution	470	>=	mg/L
levofloxacin	4	Resistant	Laboratory Method	470.7704	Acinetobacter baumannii strain MRSN7252	Broth dilution	470	>	mg/L
spectinomycin		Resistant	Laboratory Method	470.1742	Acinetobacter baumannii strain J10	Disk diffusion	470		
ceftazidime	16	Resistant	Laboratory Method	470.8047	Acinetobacter baumannii strain MRSN7790	Broth dilution	470	>	mg/L
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.8021	Acinetobacter baumannii strain MRSN7724	Broth dilution	470	>=	mg/L
gentamicin	16	Resistant	Laboratory Method	470.7982	Acinetobacter baumannii strain MRSN7668	Broth dilution	470	>=	mg/L
ampicillin		Resistant	Laboratory Method	470.4835	Acinetobacter baumannii strain KCRI-116 strain RDK02_116	Disk diffusion	470		
tetracycline		Resistant	Laboratory Method	470.672	Acinetobacter baumannii ABUH535423		470		
ampicillin/sulbactam	32	Resistant	Laboratory Method	470.2276	Acinetobacter baumannii strain CCF31		470	>=	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7580	Acinetobacter baumannii strain MRSN3360	Broth dilution	470	>	mg/L
gentamicin	16	Resistant	Laboratory Method	470.1564	Acinetobacter baumannii strain MRSN6269	Broth dilution	470	>=	mg/L
gentamicin	16	Resistant	Laboratory Method	470.7507	Acinetobacter baumannii strain MRSN11813	Broth dilution	470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7786	Acinetobacter baumannii strain MRSN7363	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	8/152	Resistant	Laboratory Method	470.7563	Acinetobacter baumannii strain MRSN1967	Broth dilution	470	=	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7818	Acinetobacter baumannii strain MRSN7403	Broth dilution	470	>	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.656	Acinetobacter baumannii ABUH430459		470		
penicillin		Resistant	Laboratory Method	470.24268	Acinetobacter baumannii MGL_74	Disk diffusion	470		
ceftriaxone	32	Resistant	Laboratory Method	470.7768	Acinetobacter baumannii strain MRSN7344	Broth dilution	470	>	mg/L
amikacin	32	Resistant	Laboratory Method	470.7585	Acinetobacter baumannii strain MRSN4481	Broth dilution	470	>	mg/L
amikacin	64	Resistant	Laboratory Method	470.7520	Acinetobacter baumannii strain MRSN1410	Broth dilution	470	>=	mg/L
ampicillin	32	Resistant	Laboratory Method	470.2239	Acinetobacter baumannii strain CCF36		470	>=	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7683	Acinetobacter baumannii strain MRSN7226	Broth dilution	470	>=	mg/L
aztreonam	64	Resistant	Laboratory Method	470.8059	Acinetobacter baumannii strain MRSN7815	Broth dilution	470	>=	mg/L
ampicillin/sulbactam	16/8	Resistant	Laboratory Method	470.7499	Acinetobacter baumannii strain MRSN11797	Broth dilution	470	>	mg/L
ticarcillin/clavulanic acid		Resistant	Laboratory Method	470.1338	Acinetobacter baumannii UH592_595		470		
cefoxitin	64	Resistant	Laboratory Method	470.7899	Acinetobacter baumannii strain MRSN7517	Broth dilution	470	>=	mg/L
amikacin		Resistant	Laboratory Method	470.16240	Acinetobacter baumannii BAL_262	Disk diffusion	470		
cefoxitin	64	Resistant	Laboratory Method	470.7838	Acinetobacter baumannii strain MRSN7424	Broth dilution	470	>=	mg/L
kanamycin		Resistant	Laboratory Method	470.1756	Acinetobacter baumannii strain A85	Disk diffusion	470		
cefotaxime	32	Resistant	Laboratory Method	470.7474	Acinetobacter baumannii strain MRSN11761	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7487	Acinetobacter baumannii strain MRSN11777	Broth dilution	470	>	mg/L
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7959	Acinetobacter baumannii strain MRSN7628	Broth dilution	470	>=	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.1748	Acinetobacter baumannii strain A92	Disk diffusion	470		
amikacin	32	Resistant	Laboratory Method	470.7515	Acinetobacter baumannii strain MRSN11825	Broth dilution	470	>	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7781	Acinetobacter baumannii strain MRSN7357	Broth dilution	470	>=	mg/L
ceftazidime	128	Resistant	Laboratory Method	470.7395	Acinetobacter baumannii strain FDA-CDC-AR_0295	Broth dilution	470	>	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7481	Acinetobacter baumannii strain MRSN11769	Broth dilution	470	>	mg/L
imipenem	16	Resistant	Laboratory Method	470.7813	Acinetobacter baumannii strain MRSN7394	Broth dilution	470	>=	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7570	Acinetobacter baumannii strain MRSN1998	Broth dilution	470	>=	mg/L
ciprofloxacin	64	Resistant	Laboratory Method	470.7364	Acinetobacter baumannii strain BL15	Broth dilution	470	>	mg/L
amikacin	32	Resistant	Laboratory Method	470.8041	Acinetobacter baumannii strain MRSN7776	Broth dilution	470	>	mg/L
